发送日期,发送时间,发送年份,时间位置,出现时间秒,弹幕内容,用户ID,弹幕颜色,颜色代码,弹幕模式,字体大小,弹幕长度
2025/4/23,13:24:54,2025,12:55,775.42,可以信她呀 不做处罚 ,10f88ca7...,白色,#FFFFFF,滚动弹幕,正常,11
2025/4/17,18:30:44,2025,11:44,704.37,up主的普通话啊。笑死了,7a1d3516...,白色,#FFFFFF,滚动弹幕,正常,12
2025/4/11,0:52:55,2025,11:59,719.88,这个截图 彩月好可爱好甜哦,4ffb3e0f...,白色,#FFFFFF,滚动弹幕,正常,13
2025/4/7,21:29:18,2025,2:14,134.09,5,f4c83332...,白色,#FFFFFF,滚动弹幕,正常,1
2025/4/7,12:32:44,2025,2:19,139.81,5,95999ff7...,白色,#FFFFFF,滚动弹幕,正常,1
2025/4/4,16:40:13,2025,2:14,134.63,5,84d78b0b...,白色,#FFFFFF,滚动弹幕,正常,1
2025/3/26,19:25:23,2025,2:18,138.16,5,c0fea41d...,白色,#FFFFFF,滚动弹幕,正常,1
2025/3/22,20:31:12,2025,10:32,632.76,不到20？,a9b9141e...,白色,#FFFFFF,滚动弹幕,正常,5
2025/3/20,12:30:50,2025,10:07,607.15,no middle use le,6b3dea7...,白色,#FFFFFF,滚动弹幕,正常,16
2025/3/20,12:29:59,2025,9:16,556.7,你自己来没来你都不知道吗,6b3dea7...,白色,#FFFFFF,滚动弹幕,正常,12
2025/3/16,18:34:08,2025,6:19,379.67,要不那些捕鲸的也不会那么拼命了,3e8219ba...,白色,#FFFFFF,滚动弹幕,正常,15
2025/2/21,13:02:36,2025,14:17,857.19,说不准哦,9dd2291c...,其他颜色,#FFFF00,顶部弹幕,正常,4
2025/2/20,21:01:28,2025,2:14,134.33,5,aadae524...,白色,#FFFFFF,滚动弹幕,正常,1
2025/2/13,18:38:47,2025,5:58,358.62,相当于现在1000左右一根吗,27c1d46f...,白色,#FFFFFF,滚动弹幕,正常,14
2025/1/18,20:43:34,2025,6:55,415.83,这一滴泪绝美,5dd3e16a...,白色,#FFFFFF,滚动弹幕,正常,6
2025/1/2,19:07:18,2025,2:13,133.2,5,6583d216...,白色,#FFFFFF,滚动弹幕,正常,1
2024/12/26,14:14:31,2024,13:41,821.47,事实,dc9885d3...,白色,#FFFFFF,滚动弹幕,正常,2
2024/12/26,14:12:05,2024,11:32,692.73,唉......、,dc9885d3...,白色,#FFFFFF,滚动弹幕,正常,8
2024/12/22,18:51:51,2024,4:51,291.02,正在点外卖的我悲伤了,31c498a0...,白色,#FFFFFF,滚动弹幕,正常,10
2024/12/22,17:24:55,2024,2:15,135.78,5,c748a64f...,白色,#FFFFFF,滚动弹幕,正常,1
2024/12/18,12:28:21,2024,2:14,134.82,5,85e5bb64...,白色,#FFFFFF,滚动弹幕,正常,1
2024/12/8,22:38:19,2024,5:03,303.59,恭喜,40f68678...,白色,#FFFFFF,滚动弹幕,正常,2
2024/11/26,16:08:03,2024,3:41,221.8,真的是姐妹情深,3d2790bf...,白色,#FFFFFF,滚动弹幕,正常,7
2024/11/23,20:01:40,2024,2:18,138.2,5,8142052c...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/22,17:46:06,2024,5:02,302.91,恭喜恭喜,3d14ad87...,白色,#FFFFFF,滚动弹幕,正常,4
2024/11/19,16:56:05,2024,11:32,692.5,只在宫里,e526e5ec...,白色,#FFFFFF,滚动弹幕,正常,4
2024/11/19,1:37:43,2024,14:32,872.35,他截屏一直可以的,ec79d2ba...,白色,#FFFFFF,滚动弹幕,正常,8
2024/11/15,17:50:21,2024,2:17,137.45,5,262fdc25...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/14,23:09:45,2024,2:17,137.01,5,6fc164a6...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/14,3:42:40,2024,0:14,14.09,我是m80,e6b6a1ea...,白色,#FFFFFF,滚动弹幕,正常,5
2024/11/12,16:31:13,2024,2:16,136.5,5,356a0fcb...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/12,14:18:21,2024,2:19,139.87,5,256a958c...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/12,2:30:17,2024,2:18,138.74,5,ad7358a8...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/10,22:39:15,2024,2:16,136.82,5,80d0d6ec...,白色,#FFFFFF,滚动弹幕,正常,1
